rec_id,species,continent_of_origin,country_of_origin,harvest_year,expiration,variety,color,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,quakers,category_one_defects,category_two_defects
0,Arabica,Africa,Ethiopia,2014.0,04/03/16,Other,Green,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,0.12,0,0,0
2,Arabica,North America,Guatemala,2014.0,05/31/11,Bourbon,Green,Other,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,0.0,0,0,0
3,Arabica,Africa,Ethiopia,2014.0,03/25/16,Other,Green,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,0.11,0,0,2
5,Arabica,South America,Brazil,2013.0,09/03/14,Other,Bluish-Green,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,0.11,0,0,1
6,Arabica,South America,Peru,2012.0,09/17/13,Other,Bluish-Green,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,0.11,0,0,0
7,Arabica,Africa,Ethiopia,2010.0,09/02/11,Other,Green,Other,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,0.03,0,0,0
9,Arabica,Africa,Ethiopia,2014.0,03/29/16,Other,Green,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,0.1,0,0,4
10,Arabica,Africa,Ethiopia,2014.0,03/26/16,Other,Yellow,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,0.1,0,0,1
11,Arabica,North America,United States,2014.0,03/12/16,Other,Green,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,0.0,0,0,0
13,Arabica,North America,United States,2009.0,05/31/11,Other,Yellow,Other,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,0.0,0,0,2
14,Arabica,Africa,Ethiopia,2010.0,08/31/11,Other,Yellow,Other,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,0.05,0,0,2
16,Arabica,Asia,Indonesia,2014.0,05/31/11,Other,Green,Other,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,0.03,0,0,0
17,Arabica,Africa,Ethiopia,2009.0,06/16/11,Other,Yellow,Other,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,0.05,0,0,2
18,Arabica,Asia,China,2015.0,04/07/17,Catimor,Green,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,0.1,0,0,0
19,Arabica,Africa,Ethiopia,2014.0,03/24/16,Ethiopian Yirgacheffe,Yellow,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,0.0,0,0,8
21,Arabica,North America,Costa Rica,2014.0,04/02/15,Caturra,Green,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,0.11,0,0,2
22,Arabica,North America,Mexico,2012.0,07/26/13,Other,Green,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,0.13,0,0,0
24,Arabica,Africa,Ethiopia,2013.0,09/03/14,Other,Bluish-Green,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,0.11,0,0,1
25,Arabica,South America,Brazil,2011.0,12/02/12,Bourbon,Green,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,0.12,0,0,2
27,Arabica,Africa,Uganda,2013.0,06/26/15,SL14,Green,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,0.12,0,0,1
28,Arabica,North America,Honduras,2016.0,05/18/18,Caturra,Green,Other,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,0.1,0,0,3
29,Arabica,Asia,Taiwan,2015.0,05/18/17,Sumatra,Green,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,0.0,0,0,0
30,Arabica,North America,Nicaragua,2014.0,05/18/11,Other,Yellow,Other,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,0.08,0,0,2
31,Arabica,Africa,Tanzania,2012.0,09/03/14,Other,Bluish-Green,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,0.11,0,0,1
33,Arabica,North America,Costa Rica,2015.0,12/02/16,Caturra,Blue-Green,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,0.0,0,0,0
35,Arabica,Africa,Kenya,2013.0,05/30/15,SL34,Blue-Green,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,0.12,0,0,1
36,Arabica,North America,United States,2012.0,04/06/13,Hawaiian Kona,Yellow,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,0.0,0,1,4
37,Arabica,North America,United States,2010.0,01/28/12,Other,Yellow,Other,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,0.0,0,2,1
